Year,Month,Region,Home Size,Average Sales Price,Number of Households (Thousands),Median Income - Current Dollars,Median Income - 2022 Dollars,Mean Income - Current Dollars,Mean Income - 2022 Dollars
2022,October,Northeast,Single ,86400.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,October,Northeast,Total1,127000.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,October,South,Double,160000.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,October,South,Single ,77000.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,October,South,Total1,128100.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,October,United States,Double,160400.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,October,United States,Single ,81400.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,October,United States,Total1,128300.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,October,West,Double,167300.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,October,West,Single ,86200.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,October,West,Total1,153600.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,September,Midwest,Double,155500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,September,Midwest,Single ,93000.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,September,Midwest,Total1,114600.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,September,Northeast,Double,162000,22630.0,80360.0,80360.0,115300.0,115300.0
2022,September,Northeast,Single ,101400.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,September,Northeast,Total1,131300.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,September,South,Double,158500.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,September,South,Single ,94400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,September,South,Total1,130300.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,September,United States,Double,159400.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,September,United States,Single ,95800.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,September,United States,Total1,130400.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,September,West,Double,163900.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,September,West,Single ,107500.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,September,West,Total1,148600.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,August,Midwest,Double,151900.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,August,Midwest,Single ,87500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,August,Midwest,Total1,110900.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,August,Northeast,Double,145100,22630.0,80360.0,80360.0,115300.0,115300.0
2022,August,Northeast,Single ,74700.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,August,Northeast,Total1,117800.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,August,South,Double,159400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,August,South,Single ,86000.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,August,South,Total1,126400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,August,United States,Double,158800.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,August,United States,Single ,86500.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,August,United States,Total1,125700.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,August,West,Double,166400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,August,West,Single ,93400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,August,West,Total1,144100.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,July,Midwest,Double,156100.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,July,Midwest,Single ,83600.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,July,Midwest,Total1,110800.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,July,Northeast,Double,157400,22630.0,80360.0,80360.0,115300.0,115300.0
2022,July,Northeast,Single ,93300.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,July,Northeast,Total1,129700.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,July,South,Double,158700.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,July,South,Single ,82900.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,July,South,Total1,131300.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,July,United States,Double,161600.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,July,United States,Single ,85200.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,July,United States,Total1,131800.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,July,West,Double,178200.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,July,West,Single ,97300.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,July,West,Total1,156800.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,June,Midwest,Double,146500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,June,Midwest,Single ,90100.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,June,Midwest,Total1,112500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,June,Northeast,Double,134100,22630.0,80360.0,80360.0,115300.0,115300.0
2022,June,Northeast,Single ,92700.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,June,Northeast,Total1,118500.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,June,South,Double,159900.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,June,South,Single ,88200.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,June,South,Total1,125300.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,June,United States,Double,159600.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,June,United States,Single ,87600.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,June,United States,Total1,126900.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,June,West,Double,174500.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,June,West,Single ,68400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,June,West,Total1,154200.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,May,Midwest,Double,148800.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,May,Midwest,Single ,83600.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,May,Midwest,Total1,112300.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,May,Northeast,Double,148500,22630.0,80360.0,80360.0,115300.0,115300.0
2022,May,Northeast,Single ,82100.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,May,Northeast,Total1,121500.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,May,South,Double,162400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,May,South,Single ,85900.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,May,South,Total1,124400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,May,United States,Double,159200.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,May,United States,Single ,85800.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,May,United States,Total1,124900.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,May,West,Double,156100.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,May,West,Single ,91900.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,May,West,Total1,142000.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,April,Midwest,Double,147800.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,April,Midwest,Single ,80500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,April,Midwest,Total1,110400.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,April,Northeast,Double,154700,22630.0,80360.0,80360.0,115300.0,115300.0
2022,April,Northeast,Single ,87200.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,April,Northeast,Total1,128900.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,April,South,Double,169900.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,April,South,Single ,83500.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,April,South,Total1,132100.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,April,United States,Double,168000.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,April,United States,Single ,83100.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,April,United States,Total1,132000.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,April,West,Double,176600.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,April,West,Single ,82400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,April,West,Total1,155400.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,March,Midwest,Double,154200.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,March,Midwest,Single ,90000.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,March,Midwest,Total1,118500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,March,Northeast,Double,145300,22630.0,80360.0,80360.0,115300.0,115300.0
2022,March,Northeast,Single ,97400.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,March,Northeast,Total1,117900.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,March,South,Double,154400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,March,South,Single ,85200.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,March,South,Total1,127400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,March,United States,Double,156600.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,March,United States,Single ,87300.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,March,United States,Total1,129200.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,March,West,Double,171600.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,March,West,Single ,89800.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,March,West,Total1,156100.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,February,Midwest,Double,155500.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,February,Midwest,Single ,82400.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,February,Midwest,Total1,115900.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,February,Northeast,Double,152700,22630.0,80360.0,80360.0,115300.0,115300.0
2022,February,Northeast,Single ,76000.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,February,Northeast,Total1,130600.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,February,South,Double,155000.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,February,South,Single ,89500.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,February,South,Total1,126300.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,February,United States,Double,156300.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,February,United States,Single ,87700.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,February,United States,Total1,128000.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,February,West,Double,163600.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,February,West,Single ,85100.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,February,West,Total1,150100.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,January,Midwest,Double,145400.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,January,Midwest,Single ,82800.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,January,Midwest,Total1,108300.0,28280.0,73070.0,73070.0,102400.0,102400.0
2022,January,Northeast,Double,141800,22630.0,80360.0,80360.0,115300.0,115300.0
2022,January,Northeast,Single ,85900.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,January,Northeast,Total1,120600.0,22630.0,80360.0,80360.0,115300.0,115300.0
2022,January,South,Double,153300.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,January,South,Single ,85400.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,January,South,Total1,122700.0,51080.0,68230.0,68230.0,98250.0,98250.0
2022,January,United States,Double,152800.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,January,United States,Single ,84600.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,January,United States,Total1,122500.0,131400.0,74580.0,74580.0,106400.0,106400.0
2022,January,West,Double,161000.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,January,West,Single ,80700.0,29440.0,82890.0,82890.0,117500.0,117500.0
2022,January,West,Total1,140800.0,29440.0,82890.0,82890.0,117500.0,117500.0
2021,December,Midwest,Double,129400.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,December,Midwest,Single ,88200.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,December,Midwest,Total1,103300.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,December,Northeast,Double,127200,22640.0,77470.0,83540.0,115000.0,124000.0
2021,December,Northeast,Single ,73900.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,December,Northeast,Total1,104700.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,December,South,Double,149600.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,December,South,Single ,80000.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,December,South,Total1,123500.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,December,United States,Double,150300.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,December,United States,Single ,80900.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,December,United States,Total1,123200.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,December,West,Double,170600.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,December,West,Single ,76900.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,December,West,Total1,145200.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,November,Midwest,Double,143800.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,November,Midwest,Single ,78100.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,November,Midwest,Total1,107300.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,November,Northeast,Double,133500,22640.0,77470.0,83540.0,115000.0,124000.0
2021,November,Northeast,Single ,71600.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,November,Northeast,Total1,100900.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,November,South,Double,138400.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,November,South,Single ,77000.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,November,South,Total1,110700.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,November,United States,Double,139900.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,November,United States,Single ,76400.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,November,United States,Total1,111900.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,November,West,Double,145500.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,November,West,Single ,68400.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,November,West,Total1,128800.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,October,Midwest,Double,132600.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,October,Midwest,Single ,81000.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,October,Midwest,Total1,101000.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,October,Northeast,Double,138700,22640.0,77470.0,83540.0,115000.0,124000.0
2021,October,Northeast,Single ,74400.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,October,Northeast,Total1,110300.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,October,South,Double,136400.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,October,South,Single ,81900.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,October,South,Total1,110700.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,October,United States,Double,138200.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,October,United States,Single ,81700.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,October,United States,Total1,112000.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,October,West,Double,150400.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,October,West,Single ,85000.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,October,West,Total1,131600.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,September,Midwest,Double,142300.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,September,Midwest,Single ,80900.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,September,Midwest,Total1,109300.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,September,Northeast,Double,124100,22640.0,77470.0,83540.0,115000.0,124000.0
2021,September,Northeast,Single ,76100.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,September,Northeast,Total1,102100.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,September,South,Double,142200.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,September,South,Single ,78500.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,September,South,Total1,119300.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,September,United States,Double,141300.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,September,United States,Single ,78800.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,September,United States,Total1,118300.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,September,West,Double,141600.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,September,West,Single ,76200.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,September,West,Total1,132100.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,August,Midwest,Double,132000.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,August,Midwest,Single ,77000.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,August,Midwest,Total1,100000.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,August,Northeast,Double,117000,22640.0,77470.0,83540.0,115000.0,124000.0
2021,August,Northeast,Single ,86000.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,August,Northeast,Total1,105000.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,August,South,Double,139000.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,August,South,Single ,80000.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,August,South,Total1,112000.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,August,United States,Double,138000.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,August,United States,Single ,80000.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,August,United States,Total1,112000.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,August,West,Double,143000.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,August,West,Single ,79000.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,August,West,Total1,135000.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,July,Midwest,Double,139300.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,July,Midwest,Single ,79100.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,July,Midwest,Total1,110500.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,July,Northeast,Double,125700,22640.0,77470.0,83540.0,115000.0,124000.0
2021,July,Northeast,Single ,74100.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,July,Northeast,Total1,98500.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,July,South,Double,137100.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,July,South,Single ,74500.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,July,South,Total1,119200.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,July,United States,Double,137800.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,July,United States,Single ,76000.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,July,United States,Total1,118700.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,July,West,Double,142800.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,July,West,Single ,81700.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,July,West,Total1,131100.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,June,Midwest,Double,125800.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,June,Midwest,Single ,65600.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,June,Midwest,Total1,94900.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,June,Northeast,Double,124200,22640.0,77470.0,83540.0,115000.0,124000.0
2021,June,Northeast,Single ,73700.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,June,Northeast,Total1,101600.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,June,South,Double,128000.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,June,South,Single ,70700.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,June,South,Total1,107500.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,June,United States,Double,128100.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,June,United States,Single ,70200.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,June,United States,Total1,106800.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,June,West,Double,131500.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,June,West,Single ,72200.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,June,West,Total1,116400.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,May,Midwest,Double,128200.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,May,Midwest,Single ,67500.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,May,Midwest,Total1,94300.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,May,Northeast,Double,121500,22640.0,77470.0,83540.0,115000.0,124000.0
2021,May,Northeast,Single ,69900.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,May,Northeast,Total1,98400.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,May,South,Double,129200.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,May,South,Single ,70600.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,May,South,Total1,109900.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,May,United States,Double,128300.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,May,United States,Single ,69900.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,May,United States,Total1,106500.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,May,West,Double,125500.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,May,West,Single ,70300.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,May,West,Total1,104400.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,April,Midwest,Double,125400.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,April,Midwest,Single ,61800.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,April,Midwest,Total1,85400.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,April,Northeast,Double,113300,22640.0,77470.0,83540.0,115000.0,124000.0
2021,April,Northeast,Single ,73800.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,April,Northeast,Total1,95900.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,April,South,Double,122200.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,April,South,Single ,67700.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,April,South,Total1,100400.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,April,United States,Double,122500.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,April,United States,Single ,66700.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,April,United States,Total1,100200.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,April,West,Double,125000.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,April,West,Single ,65000.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,April,West,Total1,118400.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,March,Midwest,Double,119100.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,March,Midwest,Single ,60800.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,March,Midwest,Total1,86400.0,28050.0,71130.0,76700.0,98470.0,106200.0
2021,March,Northeast,Double,121300,22640.0,77470.0,83540.0,115000.0,124000.0
2021,March,Northeast,Single ,58600.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,March,Northeast,Total1,91400.0,22640.0,77470.0,83540.0,115000.0,124000.0
2021,March,South,Double,122400.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,March,South,Single ,63700.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,March,South,Total1,98100.0,50610.0,63370.0,68330.0,92800.0,100100.0
2021,March,United States,Double,123200.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,March,United States,Single ,63300.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,March,United States,Total1,98100.0,131200.0,70780.0,76330.0,102300.0,110300.0
2021,March,West,Double,130800.0,29900.0,79430.0,85650.0,112400.0,121200.0
2021,March,West,Single ,67300.0,29900.0,79430.0,85650.0,112400.0,121200.0
